item_category_link_uid,item_category_uid,sequence_no,link_name,full_link_path, isLoading
14034,10034,3,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/3D-LITELSOXTRA_SIZECHART.png,True
393122,19714,5,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/5645PSVelocityPS2016 Sizing Chart.jpg,false
9701,5203,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/bioskin_gladiator_sizing-chart_knee.jpg,True
404993,19790,8,Bumper Selection Guide,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Bumper_Selection_Guide.jpg,True
938,438,1,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Comfort Products Sizing Chart.jpg,True
20045,15628,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/CoreSport_15-20_LegSleeves_SizeChart.1.17.jpg,True
22493,16512,2,Product Information,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote Postcard 5-10 0822201710.jpg,True
26714,18284,2,Sales Sheet,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote Postcard Fall NewProducts  082120183.jpg,True
26715,18284,3,Product Information,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote Postcard Fall NewProducts  082120184.jpg,True
26709,18281,2,Product Information Pt. 1,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote Postcard Fall NewProducts  082120185.jpg,True
26710,18281,3,Product Information Pt. 2,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote Postcard Fall NewProducts  082120186.jpg,True
401018,18278,4,Product Information,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote%20Postcard%20Fall%20NewProducts%20%2008212018.jpg,True
27780,18632,4,Last Refernce Guide,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/DREW Last Reference.jpg,True
26746,18308,4,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/GenuSupport Sizing Chart.jpg,True
402915,11303,4,Iceross Seal-In X Catalog Page,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Iceross Seal-In X Catalog page.pdf ,false
13390,13805,1,Product Information,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/keepingpace_childrensfootwear_salessheet.jpg,True
12981,11887,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/ottobock_50s15x,false
12979,10977,3,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/ottobock_50s3_sizingchart.jpg,True
