item_category_link_uid,item_category_uid,sequence_no,link_name,full_link_path
14034,10034,3,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/3D-LITELSOXTRA_SIZECHART.png
393122,19714,5,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/5645PSVelocityPS2016 Sizing Chart.jpg
9701,5203,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/bioskin_gladiator_sizing-chart_knee.jpg
404993,19790,8,Bumper Selection Guide,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Bumper_Selection_Guide.jpg
938,438,1,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Comfort Products Sizing Chart.jpg
20045,15628,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/CoreSport_15-20_LegSleeves_SizeChart.1.17.jpg
22493,16512,2,Product Information,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote Postcard 5-10 0822201710.jpg
26714,18284,2,Sales Sheet,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote Postcard Fall NewProducts  082120183.jpg
26715,18284,3,Product Information,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote Postcard Fall NewProducts  082120184.jpg
26709,18281,2,Product Information Pt. 1,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote Postcard Fall NewProducts  082120185.jpg
26710,18281,3,Product Information Pt. 2,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote Postcard Fall NewProducts  082120186.jpg
401018,18278,4,Product Information,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Coyote%20Postcard%20Fall%20NewProducts%20%2008212018.jpg
27780,18632,4,Last Refernce Guide,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/DREW Last Reference.jpg
26746,18308,4,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/GenuSupport Sizing Chart.jpg
402915,11303,4,Iceross Seal-In X Catalog Page,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Iceross Seal-In X Catalog page.pdf 
13390,13805,1,Product Information,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/keepingpace_childrensfootwear_salessheet.jpg
12981,11887,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/ottobock_50s15x
12979,10977,3,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/ottobock_50s3_sizingchart.jpg
393165,19717,8,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Paceline-Tapered-Shrinker-Sizing-Chart.jpg
19948,15600,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Preggers-Tights-Size-Chart-032213.jpg
13259,13709,3,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_1460tls_sizingchart.jpg
11733,12203,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_22pfns_sizingchart.gif
11737,12205,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_29shl-p_sizingchart.gif
13260,10206,3,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_453-lso_sizingchart.jpg
11717,12191,3,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_45lso_sizingchart.gif
3741,4596,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_460tls_sizingchart.jpg
13261,13439,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_463-tls_pediatric_sizingchart.jpg
13258,10365,3,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_463-tls_sizingchart.jpg
13257,13710,3,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_463-tls-s_sizingchart.jpg
11716,12192,3,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_46tlso_sizingchart.gif
3727,4591,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/rcai_lso_sizingchart.gif
26717,18285,2,Sizing Chart,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=images/Sizing Chart.JPG
27176,18473,3,Instructions for Use,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=pdfs/%C3%96ssur%20Formfit%20Pro%20Knee%20OA%20Instructions%20for%20use.pdf
22994,5573,3,Instructions for Use,https://v2prodbackend.azurewebsites.net/api/digital/asset/get?fileName=pdfs/_BREG1_90032B.pdf
